,excess_cagr
ibs@sell=0.6,0.008096131256208006
"ibs@buy=0.3,sell=0.7",0.0054679349880633055
rsi2_connors@exit_ma_days=10.0,0.0047811213577149125
"ibs@buy=0.1,sell=0.9",0.0030371703246871995
supertrend_pullback@rsi_days=3.0,0.0013932390379660653
"rsi2_raw@buy=15.0,exit_ma_days=10.0",0.0005918140961755913
RANDOM_90,0.0005762315799344719
tsmom12@lookback_months=9.0,0.000102430083652294
ALWAYS_LONG,0.0
BUYHOLD,0.0
connors_rsi@buy=5.0,-0.0003038852483745469
ALWAYS_FLAT,-0.0003038852483745469
"dual_thrust@k=0.7,lookback_days=20.0",-0.0005217146254998806
rsi2_connors@buy=5.0,-0.0008514479624315285
"rsi2_connors@exit_ma_days=2.0,trend_ma_days=100.0",-0.0009674365979945865
supertrend_pullback@buy=10.0,-0.0014305437933792575
rsi2_connors@buy=15.0,-0.0021259722462145803
rsi2_raw@buy=5.0,-0.002160847730168003
rsi2_connors,-0.0022331931180741282
dual_thrust@lookback_days=10.0,-0.0022638374901056135
three_lower_lows@n_lows=4,-0.003066030031580347
three_lower_lows,-0.0031957057789393506
tsmom12,-0.0049921865768658424
three_lower_lows@n_lows=2,-0.0051037663224491325
supertrend_pullback,-0.005177342804937535
connors_rsi,-0.0057109437277533814
rsi2_raw,-0.006442244222480742
volmanaged,-0.006871900709559675
volmanaged@var_months=2.0,-0.007406154380289909
volmanaged@var_months=3.0,-0.0076314273962119206
volmanaged@var_months=0.5,-0.008343531868650889
dual_thrust,-0.008689631930682618
monday_effect,-0.009221050299647482
st_reversal@lookback_weeks=4.0,-0.010021288888075075
bollinger_mr@nbdev=2.5,-0.010088986807799127
voltgt_tsmom,-0.01038615081661276
voltgt_tsmom@vol_days=60.0,-0.010460795432841952
"connors_rsi@buy=15.0,sell=60.0",-0.01198351267952047
bollinger_mr@period_days=50.0,-0.012215152538846086
bollinger_mr,-0.013526630747476176
RANDOM_75,-0.013662360354635528
three_lower_lows@trend_ma_days=0.0,-0.015146280771585863
momo_regime,-0.01536912543684199
faber_gtaa,-0.015566929447170086
supertrend_pullback@buy=35.0,-0.016375126199998036
voltgt_tsmom@lookback_months=6.0,-0.016909803748506702
ibs,-0.016969366098750438
supertrend_adx@adx_days=20.0,-0.016986256526326793
supertrend_adx@adx_min=30.0,-0.017126967873339005
tsmom12@lookback_months=6.0,-0.017543877440887368
sell_in_may@end_month=5,-0.01778861467425963
RANDOM_50,-0.01792520472182324
RANDOM_25,-0.018543614336322678
"connors_rsi@buy=20.0,sell=80.0",-0.01865867583876657
momo_regime@lookback_months=6.0,-0.02007980881057647
momo_regime@ma_days=100.0,-0.020255377918468653
faber_gtaa@ma_months=12.0,-0.02098541847967006
st_reversal@lookback_weeks=0.5,-0.0210298392459618
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",-0.021120099203632225
faber_gtaa@ma_months=8.0,-0.021794609038682022
golden_cross,-0.02185787345791379
"golden_cross@fast_days=20.0,slow_days=100.0",-0.02223510886775104
"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.02235152583779154
supertrend_adx@adx_min=20.0,-0.02244994102268949
"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",-0.02300914238725338
"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",-0.02340476231883115
st_reversal@lookback_weeks=2.0,-0.02541424494130573
preholiday@sessions=3,-0.025450460832749933
donchian_s2,-0.02554169466070677
"supertrend_lf@atr_days=20.0,mult=4.0",-0.02565576441625894
ichimoku,-0.02586088712125889
st_reversal,-0.025896512438920105
"donchian_s1@entry_days=40.0,exit_days=20.0",-0.02623494839133622
donchian_s1,-0.026519238884339824
trend_factor@min_votes=6,-0.026786634764476958
"sell_in_may@end_month=5,start_month=10",-0.027535122069809903
supertrend_adx,-0.02766764545512146
donchian_s2@exit_days=10.0,-0.027680845678995203
"supertrend_dual@atr_days=7.0,mult=2.0",-0.02867324556124462
faber_gtaa@ma_months=6.0,-0.028739743120665295
atr_chandelier@atr_days=14.0,-0.03018673358852353
"supertrend_dual@slow_days=30.0,slow_mult=8.0",-0.03199520635701125
"voltgt_tsmom@lookback_months=3.0,vol_days=10.0",-0.032798169051666326
atr_chandelier,-0.033062384288464086
supertrend_regime,-0.03376241687487447
"donchian_s1@entry_days=30.0,exit_days=15.0",-0.03384636339341407
"momo_regime@lookback_months=3.0,ma_days=50.0",-0.03394619925497544
bollinger_mr@period_days=10.0,-0.0339532233309654
supertrend_dual,-0.03471906208702347
dyn_breakout2,-0.03490217241772231
tsmom12@lookback_months=3.0,-0.03514200805772938
supertrend_regime@atr_days=7.0,-0.03563313629130738
trend_factor,-0.035901409600367584
"macd_cross@fast_days=20.0,slow_days=50.0",-0.03673593154586974
turn_of_month@after=1,-0.03674813057006854
"macd_cross@fast_days=8.0,slow_days=17.0",-0.03681466717345061
"donchian_s1@entry_days=10.0,exit_days=5.0",-0.03740882180885308
"golden_cross@fast_days=10.0,slow_days=50.0",-0.03795046672281943
dual_thrust@k=0.2,-0.038421467469809345
golden_cross@slow_days=150.0,-0.03896173601190367
preholiday@sessions=2,-0.03913551849809216
trend_factor@min_votes=5,-0.039428398241303286
sell_in_may,-0.03970533575424118
macd_cross,-0.04005441300948376
"dyn_breakout2@base_days=40.0,hi_days=80.0",-0.04012106185165765
atr_chandelier@mult=2.0,-0.04017570204380072
"supertrend_lf@atr_days=14.0,mult=2.0",-0.0402001887954504
trend_factor@min_votes=3,-0.04078804162488758
"turn_of_month@after=5,before=3",-0.04151114281657908
"supertrend_dual@slow_days=14.0,slow_mult=4.0",-0.04212784142291737
preholiday,-0.04356066771760059
supertrend_regime@ma_days=50.0,-0.04361963530632118
supertrend_lf,-0.044705643701176356
"donchian_s2@entry_days=80.0,exit_days=30.0",-0.04471253755333504
"dyn_breakout2@hi_days=40.0,lo_days=10.0,vol_days=60.0",-0.045199230739224605
supertrend_regime@ma_days=100.0,-0.04658489476623706
supertrend_lf@atr_days=7.0,-0.04689088981614287
turn_of_month,-0.053005502913488156
"donchian_s2@entry_days=100.0,exit_days=40.0",-0.054675087730585936
turn_of_month@before=2,-0.06800985811811255
"supertrend@atr_days=20.0,mult=4.0",-0.15500299669335282
"supertrend@atr_days=14.0,mult=2.0",-0.17655426586230394
supertrend,-0.19297556034026042
supertrend@atr_days=7.0,-0.20324943829896958
