fold,rule,is_excess_cagr
1985-07-01,supertrend@atr_days=7.0,0.09772798897496182
1986-07-01,supertrend@atr_days=7.0,0.305309608939077
1987-07-01,supertrend@atr_days=7.0,0.14003460328772943
1988-07-01,supertrend_pullback@buy=10.0,0.11690625082115846
1989-07-01,turn_of_month@after=1,0.07307064420017739
1990-07-01,st_reversal@lookback_weeks=4.0,0.09868646506656686
1991-07-01,turn_of_month@before=2,0.10766603508406125
1992-07-01,turn_of_month@before=2,0.1000342942276029
1993-07-01,supertrend_pullback@rsi_days=3.0,0.07310432871571648
1994-07-01,st_reversal@lookback_weeks=2.0,0.04712939138834238
1995-07-01,sell_in_may,0.06426266564588579
1996-07-01,"connors_rsi@buy=20.0,sell=80.0",0.082946269726347
1997-07-01,"connors_rsi@buy=20.0,sell=80.0",0.06772496107567827
1998-07-01,connors_rsi,0.0735618684423216
1999-07-01,"macd_cross@fast_days=8.0,slow_days=17.0",0.08038584110390046
2000-07-01,"macd_cross@fast_days=8.0,slow_days=17.0",0.07003103941392408
2001-07-01,bollinger_mr@period_days=50.0,0.07096226536601025
2002-07-01,bollinger_mr,0.07659820311527743
2003-07-01,"ibs@buy=0.3,sell=0.7",0.08098457153778216
2004-07-01,"ibs@buy=0.3,sell=0.7",0.10920657555602298
2005-07-01,"ibs@buy=0.3,sell=0.7",0.22592823189952016
2006-07-01,"ibs@buy=0.3,sell=0.7",0.2313052273078351
2007-07-01,"ibs@buy=0.3,sell=0.7",0.1846008316835679
2008-07-01,RANDOM_50,0.06812941840131481
2009-07-01,sell_in_may@end_month=5,0.16142209804703245
2010-07-01,golden_cross@slow_days=150.0,0.09736168947231727
2011-07-01,sell_in_may@end_month=5,0.13762873433249379
2012-07-01,"turn_of_month@after=5,before=3",0.06216605964585309
2013-07-01,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.09158050456295785
2014-07-01,"macd_cross@fast_days=8.0,slow_days=17.0",0.09057164325387679
2015-07-01,"supertrend@atr_days=14.0,mult=2.0",0.12725312127033228
2016-07-01,"supertrend@atr_days=14.0,mult=2.0",0.06399545784483629
2017-07-01,"supertrend@atr_days=14.0,mult=2.0",0.11543188160613826
2018-07-01,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.07227765947813136
2019-07-01,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.04854536244236707
2020-07-01,"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",0.06245623102232867
2021-07-01,"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",0.10148343583284447
2022-07-01,turn_of_month,0.12451479732445003
2023-07-01,"turn_of_month@after=5,before=3",0.09742799147696757
2024-07-01,st_reversal@lookback_weeks=2.0,0.08113406416088065
2025-07-01,st_reversal@lookback_weeks=2.0,0.09772862196717802
2026-07-01,volmanaged@var_months=2.0,0.049203203354441616
