basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,source,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,248,21,trading,retail,alt,0.9442824888049746,0.027000315899044836,0.20329605215642407,0.1328127900795128,-0.6066434828805365,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.598292922828906,0.05264702405830257,0.16694721265624474,0.31535132105922753,-0.5584421029575879,24.999315537303218,0.02695329060740459,0.052554202559343066,-0.025600911951938476,0.14625814554081534,0.28522798434902774,-0.6066434828805365,-0.10126439536905596,-0.5063150456277236,-0.6927743948161877,-0.04135583421537481,-0.1803218444014161,-0.9015968795650097,-1.107686782964562
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,258,21,trading,retail,twelvedata,1.8332032035297297,0.042612078530980924,0.2085070591302767,0.20436755814754737,-0.7273670690562472,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.2426537676369325,0.06864237017370334,0.13607447124402422,0.5044470836164855,-0.3884920349160993,24.999315537303218,0.04253730512521514,0.06852044199504292,-0.025983136869827783,0.21942573564507453,0.4263711155501269,-0.7273670690562473,-0.06632295714147265,-0.33161024611728085,-0.4705423826866635,-0.025771819697564258,-0.09867452336370179,-0.49336586286924383,-0.5734503339068426
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,176,42,trading,retail,alt,2.66874100378176,0.05346516101248566,0.20288521287436548,0.2635241881604915,-0.5325370343605771,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.2402744350313704,0.04823581426797263,0.16649767944999858,0.2897086279359135,-0.5717284187441245,24.999315537303218,0.05337086081738196,0.04815094674557896,0.005219914071803,0.2714500401638526,0.26035562171006926,-0.5325370343605771,0.06616704081616386,0.33083067516270076,0.3816377608587471,-0.01493826400539744,-0.058002110291421716,-0.2900065814018519,-0.37019407979343777
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,200,42,trading,retail,twelvedata,3.3915912973166265,0.061084172910775614,0.18481328393342036,0.3305183026387941,-0.351394383384995,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.985281335974787,0.06648904725080129,0.1363627423274112,0.48758954327245063,-0.38849203491610057,24.999315537303218,0.06097604992572636,0.06637106152851291,-0.005395011602786548,0.3178057882792976,0.41098581318193655,-0.35139438338499507,0.015781971947776294,0.07890877951437969,0.0020654467199242225,-0.007333074897053038,-0.04127024791389067,-0.20634841475559998,-0.24045257502941844
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,163,50,trading,retail,alt,2.8208706252705245,0.055181633768571325,0.19973918269467036,0.27626844680206925,-0.49176079942129064,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.4026787309088644,0.05029197186931089,0.16740462033644557,0.30042164767158375,-0.5695371406005749,24.999315537303218,0.05508422768872112,0.050203400785764796,0.004880826902956326,0.2806848306319204,0.2715310007513129,-0.4917607994212906,0.06003983290610095,0.30019505499978183,0.33985878724348406,-0.013224897134058278,-0.05368291227361239,-0.2684108869478211,-0.3246051825420368
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,180,50,trading,retail,twelvedata,4.38668328056003,0.06980352214830732,0.1852140701014925,0.37688023436911033,-0.36819809342983484,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.1421036607656045,0.06781345022198382,0.13717086026201805,0.4943721289816904,-0.38849203491609974,24.999315537303218,0.06967946496008381,0.06769304057079872,0.001986424389285091,0.3616375802705118,0.4183983585084252,-0.3681980934298349,0.05671387548155104,0.2835654955279693,0.28663256362554823,0.0013703401373044155,-0.0013114730075850926,-0.00655727527187589,0.027015143017029786
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,152,55,trading,retail,alt,6.246893699320066,0.08259559291993734,0.20797077113735427,0.3971500055908678,-0.4558894428145006,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.392165172050955,0.05016174437798582,0.16740257564663397,0.29964738705019106,-0.5695371406005749,24.999315537303218,0.0824479384595116,0.0500734080658205,0.03237453039369109,0.40089247721971943,0.2707924609307543,-0.4558894428145006,0.21678208179075284,1.083895570927371,1.4803698003553405,0.014138813636732195,0.07851063182206554,0.39254778531366746,0.6120182319411492
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,173,55,trading,retail,twelvedata,4.253376600694861,0.06872986527262204,0.19820633395440554,0.34675917717358284,-0.4586585987253191,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.1421036607656045,0.06781345022198382,0.13717086026201805,0.4943721289816904,-0.38849203491609974,24.999315537303218,0.06860777674425211,0.06769304057079872,0.0009147361734533899,0.345120732652478,0.4183983585084252,-0.4586585987253191,0.06384083478918007,0.3191998042489967,0.31160559243326263,0.0002986519214727146,0.005706126484744902,0.02853024185797902,0.0649521253423513
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,144,60,trading,retail,alt,7.841763735253405,0.09125885131660527,0.20877993921169907,0.43710545975430354,-0.4998327149837609,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.392165172050955,0.05016174437798582,0.16740257564663397,0.29964738705019106,-0.5695371406005749,24.999315537303218,0.09109506845984705,0.0500734080658205,0.04102166039402655,0.43821820790877264,0.2707924609307543,-0.4998327149837609,0.26273900893204016,1.3136770610320483,1.8409360421929817,0.02278594363706765,0.11808279896587948,0.5904059124469737,0.8588703464122391
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,162,60,trading,retail,twelvedata,6.580292079917389,0.08454851351783899,0.19569666366507407,0.43203860471806466,-0.4168907788862423,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.1421036607656045,0.06781345022198382,0.13717086026201805,0.4943721289816904,-0.38849203491609974,24.999315537303218,0.08439723365252516,0.06769304057079872,0.016704193081726437,0.42247173899548374,0.4183983585084252,-0.41689077888624226,0.14583248202136334,0.7291524283491025,0.9581294165936142,0.016088108829745762,0.0755488481842773,0.3777390698491555,0.6379062865699029
