basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t
base,faithful,MDY IEV EEM ILF EPP EDV SHY,2025-04-07,2026-08-07,336,10,4,63,calendar,gross,0.48357048015653925,0.3442533808442303,0.22489617510235474,1.5307213681493415,-0.14239573093666638,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.21685082681772427,0.1585852792744593,0.10939698030067213,1.4496312314891655,-0.08621794318319452,1.3333333333333333,0.3442533808442303,0.1585852792744593,0.18566810156977098,1.26112300863943,1.0557396401847619,-0.14239573093666635,1.168563988697055,1.3493414668790948,1.6544155656514206,-0.04798559000907643,-0.11058931081606892,-0.12769753673830517,-0.13624049623382528
sector,faithful,XLP XLY XLF XLV XLK TLT SHY,2025-04-07,2026-08-07,336,10,5,63,calendar,gross,0.20734055054541423,0.15178744585182757,0.20172139349939885,0.7524608234092925,-0.1586277748688688,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.1552089313088123,0.11428273998451322,0.07322003116723887,1.560812501205916,-0.06778965720134035,1.3333333333333333,0.15178744585182757,0.11428273998451322,0.03750470586731436,0.6145784881875576,0.9996338684282055,-0.1586277748688688,0.2863640262660431,0.3306646953018501,0.5744367294486377,-0.24045152500147915,-0.9632217116707384,-1.1122326290447857,-1.126371940043951
broad,faithful,SPY QQQ IWM EFA EEM TLT SHV,2025-04-07,2026-08-07,336,10,7,63,calendar,gross,0.3222374648888793,0.2330539929011628,0.17477812980566224,1.3334276614602647,-0.11423436307676903,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.2283239818182028,0.16676850711198155,0.10790786151167524,1.5454713380075444,-0.0782980766885552,1.3333333333333333,0.2330539929011628,0.16676850711198155,0.06628548578918125,1.0703281843075636,1.1340549807563602,-0.11423436307676904,0.7339010101250183,0.8474358915084351,1.119179106214453,-0.15918497795214392,-0.7676283984851944,-0.8863809250060565,-0.6963701121438429
commodity,faithful,GLD SLV USO DBA TLT SHY,2025-04-07,2026-08-07,336,10,5,63,calendar,gross,0.19320061910072783,0.14165557695956377,0.5390746924352904,0.26277541674165655,-0.4844126415531903,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.31213831016252236,0.22598374421654577,0.1395333507838588,1.6195679595382262,-0.1394136671213909,1.3333333333333333,0.14165557695956377,0.22598374421654577,-0.084328167256982,0.4603228164999851,1.2606045675491653,-0.4844126415531903,0.1627989074747287,0.18798398610862316,0.03439144798472494,-0.25058339389374296,-0.1056206585918456,-0.12196023133997523,-0.22311445228948143
stocks,faithful,AAPL TSLA XOM JNJ TLT BIL,2025-04-07,2026-08-07,336,10,5,63,calendar,gross,0.05471035270828151,0.04075835666790373,0.34470879580947267,0.1182399670776944,-0.43411941395568765,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.2854995830670539,0.20726873880211039,0.08751065125883552,2.368497272281281,-0.04279230809816577,1.3333333333333333,0.04075835666790373,0.20726873880211039,-0.16651038213420666,0.18073030111350558,1.7659373479416247,-0.43411941395568765,-0.30155621454462556,-0.34820712328628817,-0.20363827012836808,-0.351480614185403,-0.6855521114484094,-0.791607392176511,-0.48858803549179225
extended,faithful,XLF XLE XLK XLY XLP XLV XLI XLB XLU TLT SHY,2025-04-07,2026-08-07,336,10,5,63,calendar,gross,-0.1428443066427052,-0.10917009950043466,0.18857523965172554,-0.5789206456905898,-0.3116312831946093,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.18298683643178237,0.13431828808116997,0.07188820643796856,1.8684328728811943,-0.05614899003316628,1.3333333333333333,-0.10917009950043466,0.13431828808116997,-0.24348838758160463,-0.7185798658712721,1.264745223206755,-0.3116312831946093,-1.2337391011206167,-1.4245992042835098,-1.3695984085188153,-0.5014090703537414,-2.0131566882424337,-2.324593111755329,-2.253834871755644
vanguard,faithful,VTI VEA VWO BND BIV VGSH,2025-04-07,2026-08-07,336,10,4,63,calendar,gross,0.27671867925396487,0.201078545410877,0.13845706466930224,1.4522808633213697,-0.11626543104675521,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.15008035776708084,0.11057051658734252,0.07225133361911998,1.5303595248528683,-0.0601510289430667,1.3333333333333333,0.201078545410877,0.11057051658734252,0.09050802882353448,1.1203965692474886,0.965877022778704,-0.11626543104675524,1.0960628827513312,1.2656244008104764,2.318040375344951,-0.19116042544242973,-1.0776117715226718,-1.244318892741048,-0.9809385276603434
spdrgold,faithful,SPY MDY SPEM SPDW GLD SPTI BIL,2025-04-07,2026-08-07,336,10,4,63,calendar,gross,0.3846316233547822,0.27644082099217004,0.22622205279963414,1.2219888272210795,-0.19209514402289027,0.554598991129079,0.3922389708533067,0.16564197432290836,2.367992608495852,-0.08885651709858808,0.20994279033237007,0.15364882228700627,0.09499781111159405,1.6173932903202874,-0.0761657602275299,1.3333333333333333,0.27644082099217004,0.15364882228700627,0.12279199870516377,1.027009303646683,1.1553849630873814,-0.1920951440228903,0.7053945757008728,0.8145194963316015,1.12201302708583,-0.11579814986113668,-0.3030312987085202,-0.349910403764492,-0.3698049649930661
base,honest,MDY IEV EEM ILF EPP EDV SHY,2025-04-07,2026-08-07,336,17,4,63,trading,retail,0.4829582675655759,0.34383731805122664,0.22488684988830906,1.5289347430585416,-0.14239573093666633,0.5545212611795198,0.3921867615655852,0.16564229045531237,2.367672896139956,-0.08885651709858794,0.21678998427638252,0.158541832054937,0.10939719789541885,1.4492311970046916,-0.08621794318319417,1.3333333333333333,0.34383731805122664,0.158541832054937,0.18529548599628964,1.259788013982148,1.0553947200390623,-0.14239573093666635,1.1667263326374404,1.347219524437702,1.6514439087038313,-0.04834944351435855,-0.11189837429844551,-0.12920911304617802,-0.13742004898822655
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2025-04-07,2026-08-07,336,17,5,63,trading,retail,0.22549385138378186,0.16475169860542294,0.19890246919553484,0.8283039384667501,-0.15862777486886917,0.5545212611795198,0.3921867615655852,0.16564229045531237,2.367672896139956,-0.08885651709858794,0.15515117086224683,0.1142409541205982,0.07322027004252715,1.5602367220749906,-0.06778965720134084,1.3333333333333333,0.16475169860542294,0.1142409541205982,0.05051074448482473,0.6767497178168405,0.9991183849738179,-0.15862777486886914,0.34489091529563437,0.3982457255739818,0.6869581028481418,-0.22743506296016225,-0.8734054366322906,-1.0085217279026713,-1.01875418383652
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2025-04-07,2026-08-07,336,17,8,63,trading,retail,0.2735199017210128,0.19882089012295756,0.18710529442848967,1.0626149876210238,-0.1275449788445276,0.5545212611795198,0.3921867615655852,0.16564229045531237,2.367672896139956,-0.08885651709858794,0.22826256561911107,0.1667247530194973,0.10790809162612454,1.545062566736499,-0.07829807668855449,1.3333333333333333,0.19882089012295756,0.1667247530194973,0.032096137103460265,0.861259195712939,1.1337050111469702,-0.12754497884452753,0.38939234606549106,0.44963155164258234,0.6489417967612755,-0.19336587144262762,-0.884616006363757,-1.0214665788071335,-0.8851253371275741
