class,timeframe,n_assets,n_strategies,n_cells,n_skipped,skipped,n_folds,years_oos,ceiling_published,ceiling_cells,se_ir,oos_start,oos_end,ranking_stability_spearman,seconds
cme_futures,1d,16,171,1191,4,ema_fan_align;monday_effect;preholiday;vwma_offset_dip,14,13.204417999171483,0.694382710092296,0.8646684968232757,0.2751948916949047,2013-06-07,2026-08-25,0.22110447626603902,83.95732164382935
cme_futures,4h,16,171,1191,4,ema_fan_align;monday_effect;preholiday;vwma_offset_dip,8,7.629338687631063,0.9135137381987739,1.1375377574288321,0.36203999695211914,2019-01-03,2026-08-21,0.2377105963382224,296.9013931751251
commodities,1d,5,169,1175,6,ema_fan_align;mc_chaikin_money_flow_gradient;mc_chaikin_oscillator_spread;monday_effect;preholiday;vwma_offset_dip,24,23.702628116397705,0.51742972690355,0.6445601869226317,0.2054006192814179,2003-01-03,2026-08-26,0.09485411788240553,43.72392463684082
commodities,4h,5,169,1175,6,ema_fan_align;mc_chaikin_money_flow_gradient;mc_chaikin_oscillator_spread;monday_effect;preholiday;vwma_offset_dip,4,3.7251097058031637,1.3052091011346982,1.6258938720722529,0.518120130571436,2023-01-20,2026-08-26,0.16453678065976188,81.31813621520996
crypto,1d,20,169,1175,6,ema_fan_align;mc_chaikin_money_flow_gradient;mc_chaikin_oscillator_spread;monday_effect;preholiday;vwma_offset_dip,6,5.988153054068878,1.0294450769573196,1.2823757057813534,0.4086519295839661,2020-08-29,2026-08-26,-0.057874862248138856,79.42160749435425
crypto,4h,20,169,1175,6,ema_fan_align;mc_chaikin_money_flow_gradient;mc_chaikin_oscillator_spread;monday_effect;preholiday;vwma_offset_dip,4,3.6374475614469555,1.3208431753219847,1.6453691771360417,0.5243262844760006,2023-01-07,2026-08-26,0.13273022719432517,411.01694083213806
us_etfs,1d,10,175,1202,0,,24,22.138103992285544,0.5379917966266663,0.6683600956889215,0.21253467165355774,2003-01-03,2026-08-25,0.04883141620898194,77.06736826896667
us_etfs,4h,10,175,1202,0,,4,3.5052981176099784,1.3520208383065475,1.6796478729415445,0.5341183764139332,2023-02-10,2026-08-25,0.025143283862238214,51.33040809631348
us_stocks,1d,190,175,1202,0,,24,11.986900887396445,0.7311263022487912,0.9082957182538358,0.2888328215412505,2003-01-03,2026-08-07,0.2813732941821731,969.5657477378845
us_stocks,4h,112,175,1202,0,,5,4.003162172028291,1.2651565639072055,1.5717343041594152,0.49980248135076,2022-06-21,2026-08-25,0.4695518199067817,468.3037099838257
