ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.12634536562605014,0.2,-0.12634536562605014,0.0,-0.6144504612160747,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,382.66600469474406,525.2949700552095,-142.6289653604655,commodities,1d,WFO[golden_cross],gross,wfo,24.0,9.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,0.0022930004921959844,-0.04221862914957364,0.6,,,3.4405662131244497,,
-0.1279582452483079,0.2,-0.1279582452483079,0.0,-0.6222943154237193,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,431.3442929785556,525.2949700552095,-93.95067707665396,commodities,1d,RANDOM_90,gross,control,24.0,0.0,False,False,True,,control,,False,-0.003960214239134929,-0.011484762934874881,0.2,0.9015340983207473,0.9015340983207473,2.4648754651326317,-0.12791394919461513,-4.4296053692771675e-05
-0.13383359302475606,0.2,-0.13383359302475606,0.0,-0.6508676638259742,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,528.7454750306762,525.2949700552095,3.450504975466629,commodities,1d,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",gross,grid_cell,24.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,0.0019734229166043617,-0.03493118210034751,0.4,0.526476240662614,0.526476240662614,34.10638061408703,-0.289348314731764,0.15551472170700792
-0.1387744648757725,0.0,-0.13877446487577252,0.0,-0.6748964121114643,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,354.9349098791412,525.2949700552095,-170.36006017606837,commodities,1d,golden_cross@slow_days=150.0,gross,grid_cell,24.0,0.0,False,False,True,golden_cross,trend,Folk / StockCharts ChartSchool; the retail default,True,-0.004447601676170665,-0.06374603508684751,0.6,0.5671096830911713,0.5671096830911713,1.8842478073356586,-0.280775886482388,0.1420014216066155
-0.14896827361589265,0.2,-0.14896827361589268,0.0,-0.7244715623425689,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,515.1217899779314,525.2949700552095,-10.173180077278175,commodities,1d,volmanaged@var_months=0.5,gross,grid_cell,24.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,0.00857017561583633,-0.017159705400260572,0.4,1.0,1.0,7.786589672694913,0.0,-0.14896827361589265
-0.1538417976243118,0.2,-0.1538417976243118,0.0,-0.7481727805066275,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,381.1910910847188,525.2949700552095,-144.10387897049077,commodities,1d,"sell_in_may@end_month=5,start_month=10",gross,grid_cell,24.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.013078842104202204,-0.039013807447014326,0.2,0.6673195572239689,0.6673195572239689,1.9852598961596986,-0.259634631778389,0.10579283415407723
-0.15656370035519634,0.2,-0.15656370035519634,0.0,-0.761410103301097,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,337.2408678463145,525.2949700552095,-188.05410220889507,commodities,1d,WFO[trend_factor],gross,wfo,24.0,7.0,False,False,True,trend_factor,trend,"Han, Zhou & Zhu (2016), 'A Trend Factor', RFS",False,-0.0019773012858596674,-0.037799910730602404,0.4,,,48.7810848328045,,
-0.156704470599588,0.0,-0.156704470599588,0.0,-0.762094705709451,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,488.2999069604046,525.2949700552095,-36.99506309480495,commodities,1d,volmanaged@var_months=2.0,gross,grid_cell,24.0,0.0,False,False,True,volmanaged,volatility,"Moreira & Muir (2017), 'Volatility-Managed Portfolios', JF",True,0.006535601461865026,-0.01633909771508324,0.4,1.0,1.0,1.9824480579878627,0.0,-0.156704470599588
-0.15984153363122486,0.0,-0.15984153363122486,0.0,-0.7773510613114307,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,453.65221410935766,525.2949700552095,-71.64275594585189,commodities,1d,trend_factor@min_votes=3,gross,grid_cell,24.0,0.0,False,False,True,trend_factor,trend,"Han, Zhou & Zhu (2016), 'A Trend Factor', RFS",False,-0.0061238269124446855,-0.025342865098192946,0.2,0.605287014353296,0.605287014353296,51.68183512602727,-0.2727216234557532,0.11288008982452832
-0.16323128543580534,0.2,-0.16323128543580537,0.0,-0.7938363083120777,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,501.1886954201276,525.2949700552095,-24.106274635081945,commodities,1d,atr_chandelier@atr_days=14.0,gross,grid_cell,24.0,0.0,False,False,True,atr_chandelier,volatility,LeBeau's chandelier exit; Tradeciety / TrendSpider write-ups,False,-0.0014113674753019946,-0.040741745049730715,0.2,0.620491613347318,0.620491613347318,11.889462718420722,-0.26951391261102337,0.10628262717521803
-0.16714636126559115,0.0,-0.16714636126559118,0.0,-0.8128763430405997,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,399.335342078697,525.2949700552095,-125.95962797651254,commodities,1d,"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",gross,grid_cell,24.0,0.0,False,False,True,ichimoku,regime,"QuantConnect, 'Ichimoku Clouds in the Energy Sector'",False,-0.003630022614084982,-0.046831423219257706,0.4,0.46654236224446494,0.46654236224446494,19.149162842836773,-0.30088409635691427,0.1337377350913231
-0.1787653537597983,0.2,-0.17876535375979832,0.0,-0.8693825335253553,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,480.4412335358258,525.2949700552095,-44.853736519383745,commodities,1d,atr_chandelier,gross,published,24.0,0.0,False,False,True,atr_chandelier,volatility,LeBeau's chandelier exit; Tradeciety / TrendSpider write-ups,False,-0.0031980670997887595,-0.0488925681359238,0.2,0.6215642745978438,0.6215642745978438,12.14289741921285,-0.26928761350722025,0.09052225974742195
