ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,strategy,family,source,anchor,excess_cagr,excess_cagr_min,excess_cagr_hit,long_frac,exposure,turnover_yr,ir_random,ir_vs_random
-0.12497144206966504,0.4642857142857143,-0.12497144206966504,0.0,-0.24854445657813973,,SMCI,112,112,3.955365307624283,False,False,False,False,0,False,125.1840483013783,127.87152149040462,-2.6874731890263206,us_stocks,4h,monday_effect,gross,published,5.0,0.0,False,False,True,monday_effect,calendar,"French (1980), 'Stock Returns and the Weekend Effect', JFE",False,-0.008403371486059534,-0.4555896410985678,0.5089285714285714,0.8129839266141821,0.8129839266141821,96.9961335453455,-0.27924032799872445,0.1542688859290594
-0.23412514905540702,0.14285714285714285,-0.23412514905540702,0.0,-0.46563044308005935,,ENPH,112,112,3.955365307624283,False,False,False,False,0,False,107.75588168533922,127.87152149040462,-20.1156398050654,us_stocks,4h,RANDOM_90,gross,control,5.0,0.0,False,False,True,,control,,False,-0.021483919565698582,-0.22650858766360038,0.26785714285714285,0.8994643569893651,0.8994643569893651,4.715489152802846,-0.23414373566873722,1.8586613330207058e-05
-0.2569871379352416,0.29464285714285715,-0.2569871379352416,0.0,-0.5110985957102131,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,81.62253349205771,127.87152149040462,-46.248987998346905,us_stocks,4h,"ibs@buy=0.3,sell=0.7",gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.037035501448124744,-0.7360062254232362,0.375,0.4757205325140944,0.4757205325140944,168.01348489452909,-0.4543797345550713,0.19739259661982972
-0.2658816851035167,0.3125,-0.2658816851035166,0.0,-0.5287881602686122,,SMCI,112,112,3.955365307624283,False,False,False,False,0,False,70.61504452775648,127.87152149040462,-57.25647696264814,us_stocks,4h,"ibs@buy=0.1,sell=0.9",gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.05636499021143677,-1.1819730589606685,0.4017857142857143,0.4654968407368723,0.4654968407368723,61.188359354611386,-0.45863853748084016,0.19275685237732348
-0.27200971374005245,0.2857142857142857,-0.27200971374005245,0.0,-0.5409756450422457,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,63.823278325859704,127.87152149040462,-64.04824316454491,us_stocks,4h,"connors_rsi@buy=20.0,sell=80.0",gross,grid_cell,5.0,0.0,False,False,True,connors_rsi,reversion,"Connors Research, 'ConnorsRSI'",False,-0.0608327855766647,-1.7901347044976879,0.375,0.4508654578603852,0.4508654578603852,9.313449145754422,-0.4647334176435282,0.19272370390347576
-0.29191489484318567,0.2857142857142857,-0.29191489484318567,0.0,-0.5805632687299825,,MMM,112,112,3.955365307624283,False,False,False,False,0,False,75.55901486470943,127.87152149040462,-52.31250662569519,us_stocks,4h,WFO[ibs],gross,wfo,5.0,1.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.05398365603238869,-0.7261074184095444,0.38392857142857145,,,116.3161897452228,,
-0.3064388221863504,0.25,-0.30643882218635043,0.0,-0.6094486010035347,,MDT,112,112,3.955365307624283,False,False,False,False,0,False,69.03589646105449,127.87152149040462,-58.835625029350126,us_stocks,4h,ibs,gross,published,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.06485184893976428,-1.1513005339562237,0.3392857142857143,0.47252212718791436,0.47252212718791436,117.32677738235581,-0.4557120691224414,0.149273246936091
-0.31255361497544293,0.11607142857142858,-0.31255361497544293,0.0,-0.6216097621911101,,ENPH,112,112,3.955365307624283,False,False,False,False,0,False,85.40450444729943,127.87152149040462,-42.46701704310519,us_stocks,4h,RANDOM_75,gross,control,5.0,0.0,False,False,True,,control,,False,-0.04413937622631107,-0.8157765903306107,0.2857142857142857,0.7491285108358714,0.7491285108358714,9.75736170219373,-0.3125387475477867,-1.4867427656217735e-05
-0.336125339641951,0.23214285714285715,-0.336125339641951,0.0,-0.6684894444674889,,NCLH,112,112,3.955365307624283,False,False,False,False,0,False,61.447967600350594,127.87152149040462,-66.42355389005402,us_stocks,4h,ibs@sell=0.6,gross,grid_cell,5.0,0.0,False,False,True,ibs,reversion,"QuantifiedStrategies, 'Internal Bar Strength'",False,-0.053337077323216416,-0.9703274957097805,0.3482142857142857,0.331777148598806,0.331777148598806,149.178739979717,-0.5143410986025766,0.17821575896062558
-0.3510294006165134,0.1875,-0.3510294006165134,0.0,-0.698130790317248,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,85.49276276038229,127.87152149040462,-42.37875873002233,us_stocks,4h,"sell_in_may@end_month=5,start_month=10",gross,grid_cell,5.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.058950091769687255,-0.9062377872822955,0.26785714285714285,0.631121609252646,0.631121609252646,2.000776508983899,-0.3748243159489931,0.023794915332479738
-0.37763191593908674,0.29464285714285715,-0.37763191593908674,0.0,-0.7510381394280539,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,35.62013354335336,127.87152149040462,-92.25138794705126,us_stocks,4h,bollinger_mr@period_days=50.0,gross,grid_cell,5.0,0.0,False,False,True,bollinger_mr,reversion,Bollinger; QuantifiedStrategies mean-reversion write-ups,False,-0.10725403875569188,-2.2182694894084447,0.35714285714285715,0.2483649240334425,0.2483649240334425,4.60247689175408,-0.5489925703433653,0.1713606544042786
-0.3814810899102005,0.25892857142857145,-0.3814810899102005,0.0,-0.7586934152021135,,NCLH,112,112,3.955365307624283,False,False,False,False,0,False,48.915779653402225,127.87152149040462,-78.95574183700239,us_stocks,4h,st_reversal,gross,published,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.08175956428324309,-1.6795754708292097,0.3125,0.4639598803020334,0.4639598803020334,66.69617530207715,-0.45927877700872444,0.07779768709852392
-0.40516983367831205,0.15178571428571427,-0.40516983367831205,0.0,-0.8058058262406449,,ENPH,112,112,3.955365307624283,False,False,False,False,0,False,75.95317406373272,127.87152149040462,-51.9183474266719,us_stocks,4h,WFO[sell_in_may],gross,wfo,5.0,1.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.07924164945133105,-0.9062377872822955,0.19642857142857142,,,2.000776508983899,,
-0.4223220665643301,0.21428571428571427,-0.4223220665643301,0.0,-0.839918358921356,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,50.27892496218378,127.87152149040462,-77.59259652822084,us_stocks,4h,macd_cross,gross,published,5.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,-0.09963375746853913,-1.6571130483345733,0.2767857142857143,0.5123386579877022,0.5123386579877022,19.579256996609907,-0.4375196756001926,0.015197609035862536
-0.4230387466831576,0.20535714285714285,-0.42303874668315766,0.0,-0.841343699524972,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,52.346860910422386,127.87152149040462,-75.52466057998222,us_stocks,4h,"macd_cross@fast_days=20.0,slow_days=50.0",gross,grid_cell,5.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,-0.0969911163324756,-1.3915942029821653,0.2857142857142857,0.5145971423781225,0.5145971423781225,14.384599766100544,-0.4363276148741698,0.013288868191012215
-0.42406626949077986,0.22321428571428573,-0.4240662694907799,0.0,-0.8433872471836423,,DVN,112,112,3.955365307624283,False,False,False,False,0,False,40.130139308635094,127.87152149040462,-87.74138218176952,us_stocks,4h,st_reversal@lookback_weeks=2.0,gross,grid_cell,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.11744521067510147,-1.7922623267493527,0.29464285714285715,0.4586170014618879,0.4586170014618879,46.98872239066269,-0.46150441805231845,0.0374381485615386
-0.4373294106841235,0.16964285714285715,-0.4373294106841235,0.0,-0.8697651153255586,,ENPH,112,112,3.955365307624283,False,False,False,False,0,False,66.30680919345284,127.87152149040462,-61.56471229695178,us_stocks,4h,sell_in_may@end_month=5,gross,grid_cell,5.0,0.0,False,False,True,sell_in_may,calendar,"Bouman & Jacobsen (2002), 'The Halloween Indicator', AER",False,-0.08915767279509998,-0.9593442243667141,0.22321428571428573,0.5410313997883461,0.5410313997883461,2.000776508983899,-0.42237523149088646,-0.01495417919323705
-0.44131801352495853,0.19642857142857142,-0.44131801352495853,0.0,-0.8776976886332166,,CMCSA,112,112,3.955365307624283,False,False,False,False,0,False,43.378805050991865,127.87152149040462,-84.49271643941276,us_stocks,4h,st_reversal@lookback_weeks=0.5,gross,grid_cell,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.1094008082029321,-1.6373026781169642,0.25892857142857145,0.4701509621236751,0.4701509621236751,102.11634771762829,-0.45669980671597504,0.015381793191016513
-0.4448559058002068,0.19642857142857142,-0.4448559058002068,0.0,-0.8847338842505593,,CMCSA,112,112,3.955365307624283,False,False,False,False,0,False,42.88194528182719,127.87152149040462,-84.98957620857743,us_stocks,4h,WFO[connors_rsi],gross,wfo,5.0,1.0,False,False,True,connors_rsi,reversion,"Connors Research, 'ConnorsRSI'",False,-0.124512375419,-2.276981415920492,0.26785714285714285,,,7.107281198720118,,
-0.4451406081143253,0.11607142857142858,-0.4451406081143254,0.0,-0.8853001030664523,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,48.44768057022046,127.87152149040462,-79.42384092018415,us_stocks,4h,RANDOM_50,gross,control,5.0,0.0,False,False,True,,control,,False,-0.09585517168723569,-1.3166581460242899,0.25,0.4979069662731205,0.4979069662731205,12.947683241618492,-0.4451369312146182,-3.6768997070946163e-06
-0.44626513834886244,0.19642857142857142,-0.44626513834886244,0.0,-0.8875365800680773,,FIS,112,112,3.955365307624283,False,False,False,False,0,False,30.33440645219461,127.87152149040462,-97.53711503821,us_stocks,4h,"rsi2_raw@buy=15.0,exit_ma_days=10.0",gross,grid_cell,5.0,0.0,False,False,True,rsi2_raw,reversion,"Connors & Alvarez, ibid — the unfiltered variant",False,-0.1270292546013266,-2.230264098177546,0.25892857142857145,0.24795032038978532,0.24795032038978532,17.390878103480254,-0.5491378603649747,0.10287272201611225
-0.4490324912120781,0.20535714285714285,-0.4490324912120781,0.0,-0.8930403191796455,,ENPH,112,112,3.955365307624283,False,False,False,False,0,False,40.073141292925094,127.87152149040462,-87.79838019747953,us_stocks,4h,st_reversal@lookback_weeks=4.0,gross,grid_cell,5.0,0.0,False,False,True,st_reversal,reversion,"Jegadeesh (1990), 'Evidence of Predictable Behavior of Security Returns', JF",True,-0.11457955176732547,-1.884123883263694,0.2857142857142857,0.45200845885680546,0.45200845885680546,32.434546663842376,-0.46425728670239824,0.015224795490320131
-0.45977339933208716,0.19642857142857142,-0.45977339933208716,0.0,-0.9144019449049471,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,48.38782508060286,127.87152149040462,-79.48369640980175,us_stocks,4h,WFO[macd_cross],gross,wfo,5.0,2.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,-0.1048586242536819,-0.9111921609822606,0.25,,,23.497202326272966,,
-0.46114040962702135,0.20535714285714285,-0.46114040962702135,0.0,-0.9171206686810698,,EBAY,112,112,3.955365307624283,False,False,False,False,0,False,47.190697884444795,127.87152149040462,-80.68082360595983,us_stocks,4h,"macd_cross@fast_days=8.0,slow_days=17.0",gross,grid_cell,5.0,0.0,False,False,True,macd_cross,trend,"QuantifiedStrategies, 'Bitcoin MACD Trading Strategy'",False,-0.11046225649999182,-2.2231626579777712,0.3125,0.5101486992870262,0.5101486992870262,24.82248753783797,-0.4386755674760722,-0.022464842150949127
