ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
0.06787470795727858,0.6,0.06787470795727858,,0.33009240507241244,0.5058924487934633,XAU/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MININDEX|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,confirm2
0.0013606146587989032,0.4,0.0013606146587988976,,0.006617023905022155,-42.31379798614913,XAG/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MININDEX|hold10,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,hold10
-0.014850094891246718,0.6,-0.014850094891246706,,-0.07221988404414956,,XAU/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MININDEX|base,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,base
-0.014850094891246718,0.6,-0.014850094891246706,,-0.07221988404414956,,XAU/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MININDEX|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,long_only
-0.04829353978290575,0.6,-0.04829353978290576,,-0.23486407788941527,,XPD/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,SAREXT|base,gross,fixed_transform,24.0,0.0,False,False,True,SAREXT,base
-0.04829353978290575,0.6,-0.04829353978290576,,-0.23486407788941527,,XPD/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,SAREXT|long_only,gross,fixed_transform,24.0,0.0,False,False,True,SAREXT,long_only
-0.0539906267182898,0.2,-0.0539906267182898,,-0.2625704973349501,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MIDPOINT_9|base,gross,fixed_transform,24.0,0.0,False,False,True,MIDPOINT_9,base
-0.05684109258685777,0.2,-0.05684109258685777,,-0.27643305619449837,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MIDPOINT_9|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MIDPOINT_9,long_only
-0.06447357512219276,0.2,-0.06447357512219276,,-0.3135518091524879,,WTI/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,MIDPOINT_9|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,MIDPOINT_9,voltgt
-0.08195154443238134,0.2,-0.08195154443238134,,-0.3985517317895515,,XPD/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,SAREXT|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,SAREXT,voltgt
-0.1041277115267576,0.2,-0.10412771152675762,,-0.5064002154408961,,XPD/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,SAREXT|regime200,gross,fixed_transform,24.0,0.0,False,False,True,SAREXT,regime200
-0.10546493897111808,0.2,-0.10546493897111808,,-0.5129035012232176,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,TRIMA_9|base,gross,fixed_transform,24.0,0.0,False,False,True,TRIMA_9,base
-0.10546493897111808,0.2,-0.10546493897111808,,-0.5129035012232176,,XPT/USD,5,5,23.651305401364116,False,False,False,False,0,False,,,,commodities,1d,TRIMA_9|long_only,gross,fixed_transform,24.0,0.0,False,False,True,TRIMA_9,long_only
