ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.16110548039064504,0.1,-0.16110548039064504,0.0,-0.7571764814719844,,XLF,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MAXINDEX|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,confirm2
-0.1792150537247836,0.3,-0.17921505372478358,0.0,-0.8422893093214965,,XLE,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,TAN|base,gross,fixed_transform,24.0,0.0,False,False,True,TAN,base
-0.1792150537247836,0.3,-0.17921505372478358,0.0,-0.8422893093214965,,XLE,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,TAN|long_only,gross,fixed_transform,24.0,0.0,False,False,True,TAN,long_only
-0.1811134082886249,0.2,-0.1811134082886249,0.0,-0.8512113486323274,,GLD,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MININDEX|hold10,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,hold10
-0.18174082721640947,0.1,-0.1817408272164095,0.0,-0.8541601425218767,,XLF,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MAXINDEX|base,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,base
-0.18174082721640947,0.1,-0.1817408272164095,0.0,-0.8541601425218767,,XLF,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MAXINDEX|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,long_only
-0.18792903259895527,0.1,-0.18792903259895527,0.0,-0.8832439673974835,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_PHASOR|base,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,base
-0.18792903259895527,0.1,-0.18792903259895527,0.0,-0.8832439673974835,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_PHASOR|long_only,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,long_only
-0.19036253194611708,0.0,-0.19036253194611705,0.0,-0.8946811231595375,,EFA,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_TRENDMODE|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,confirm2
-0.1924248425646246,0.2,-0.1924248425646246,0.0,-0.9043737363098628,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MININDEX|base,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,base
-0.1924248425646246,0.2,-0.1924248425646246,0.0,-0.9043737363098628,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MININDEX|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,long_only
-0.21588165824155756,0.2,-0.21588165824155756,0.0,-1.0146179633698649,,GLD,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,MININDEX|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,confirm2
-0.2310352690832354,0.0,-0.23103526908323543,0.0,-1.085838121187436,,XLE,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,TAN|hold10,gross,fixed_transform,24.0,0.0,False,False,True,TAN,hold10
-0.23690471911110772,0.0,-0.23690471911110778,0.0,-1.1134238340353402,,XLF,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_TRENDMODE|base,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,base
-0.23690471911110772,0.0,-0.23690471911110778,0.0,-1.1134238340353402,,XLF,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_TRENDMODE|long_only,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,long_only
-0.23721843934271244,0.2,-0.23721843934271242,0.0,-1.114898281587075,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,TAN|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,TAN,confirm2
-0.24275753842759892,0.0,-0.24275753842759892,0.0,-1.1409313845296274,,TLT,10,10,22.088875298871415,False,False,False,False,0,False,,,,us_etfs,1d,HT_DCPHASE|base,gross,fixed_transform,24.0,0.0,False,False,True,HT_DCPHASE,base
