ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,base_rule,variant
-0.14261836592849775,0.30526315789473685,-0.14261836592849775,0.0,-0.4937747904392136,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_TRENDMODE|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,confirm2
-0.16284230712648046,0.2894736842105263,-0.16284230712648048,0.0,-0.5637943300817828,,CPRI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_TRENDMODE|base,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,base
-0.16284230712648046,0.2894736842105263,-0.16284230712648048,0.0,-0.5637943300817828,,CPRI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_TRENDMODE|long_only,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,long_only
-0.16925130760441984,0.20526315789473684,-0.1692513076044198,0.0,-0.5859836382211421,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_PHASOR|hold10,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,hold10
-0.17075736859280263,0.2578947368421053,-0.17075736859280263,0.0,-0.5911979382454476,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MAXINDEX|base,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,base
-0.17075736859280263,0.2578947368421053,-0.17075736859280263,0.0,-0.5911979382454476,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MAXINDEX|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,long_only
-0.17646107232546882,0.24210526315789474,-0.17646107232546882,0.0,-0.6109453606548209,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLLONGLEGGEDDOJI|base,gross,fixed_transform,24.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,base
-0.17646107232546882,0.24210526315789474,-0.17646107232546882,0.0,-0.6109453606548209,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLLONGLEGGEDDOJI|long_only,gross,fixed_transform,24.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,long_only
-0.17669221914906158,0.24736842105263157,-0.17669221914906158,0.0,-0.6117456395925099,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLDOJI|base,gross,fixed_transform,24.0,0.0,False,False,True,CDLDOJI,base
-0.17669221914906158,0.24736842105263157,-0.17669221914906158,0.0,-0.6117456395925099,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLDOJI|long_only,gross,fixed_transform,24.0,0.0,False,False,True,CDLDOJI,long_only
-0.17936453236887037,0.23684210526315788,-0.17936453236887037,0.0,-0.6209977502271289,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MAXINDEX|hold10,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,hold10
-0.18112461880335914,0.22105263157894736,-0.18112461880335917,0.0,-0.6270915397940372,,ATI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MININDEX|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,confirm2
-0.18150965922106935,0.2578947368421053,-0.18150965922106935,0.0,-0.6284246307345182,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MAXINDEX|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,MAXINDEX,confirm2
-0.1834137707320179,0.24736842105263157,-0.18341377073201787,0.0,-0.6350170654197037,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_PHASOR|base,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,base
-0.1834137707320179,0.24736842105263157,-0.18341377073201787,0.0,-0.6350170654197037,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_PHASOR|long_only,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,long_only
-0.1850757371218881,0.16842105263157894,-0.1850757371218881,0.0,-0.6407711427472101,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_PHASOR|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,confirm2
-0.1894038572775975,0.21578947368421053,-0.18940385727759754,0.0,-0.6557560053837138,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,TSF_9|long_only,gross,fixed_transform,24.0,0.0,False,False,True,TSF_9,long_only
-0.18943361235603276,0.21578947368421053,-0.1894336123560328,0.0,-0.6558590237258691,,KBH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,TSF_9|base,gross,fixed_transform,24.0,0.0,False,False,True,TSF_9,base
-0.19113299142856202,0.22105263157894736,-0.19113299142856202,0.0,-0.6617426316325508,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,568.3698888318276,3139.8048896723126,-2571.435000840485,us_stocks,1d,BEST[MAXINDEX],gross,wf_transform,12.0,5.0,False,False,True,MAXINDEX,
-0.1930947916866693,0.22105263157894736,-0.1930947916866693,0.0,-0.6685347968983916,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLDOJI|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,CDLDOJI,confirm2
-0.1938176949432212,0.22105263157894736,-0.1938176949432212,0.0,-0.6710376400749198,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLLONGLEGGEDDOJI|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,confirm2
-0.2035824144708788,0.25263157894736843,-0.20358241447087877,0.0,-0.7048451536239401,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_TRENDMODE|hold10,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,hold10
-0.20458954685081618,0.21578947368421053,-0.20458954685081618,0.0,-0.7083320578288126,,NCLH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CORREL|base,gross,fixed_transform,24.0,0.0,False,False,True,CORREL,base
-0.20458954685081618,0.21578947368421053,-0.20458954685081618,0.0,-0.7083320578288126,,NCLH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CORREL|long_only,gross,fixed_transform,24.0,0.0,False,False,True,CORREL,long_only
-0.20735784959540263,0.2,-0.20735784959540263,0.0,-0.7179165043948726,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,TSF_9|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,TSF_9,voltgt
-0.21520120975290094,0.23684210526315788,-0.21520120975290094,0.0,-0.7450718675410867,,NCLH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CORREL|hold10,gross,fixed_transform,24.0,0.0,False,False,True,CORREL,hold10
-0.21642655073263276,0.22631578947368422,-0.2164265507326327,0.0,-0.7493142558305935,,ATI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MININDEX|hold10,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,hold10
-0.21665165229756067,0.22105263157894736,-0.21665165229756067,0.0,-0.7500936048108332,,ATI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MININDEX|base,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,base
-0.21665165229756067,0.22105263157894736,-0.21665165229756067,0.0,-0.7500936048108332,,ATI,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,MININDEX|long_only,gross,fixed_transform,24.0,0.0,False,False,True,MININDEX,long_only
-0.21934131582771893,0.18947368421052632,-0.21934131582771893,0.0,-0.7594057858704713,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLLONGLEGGEDDOJI|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,voltgt
-0.21937115155424752,0.18947368421052632,-0.21937115155424752,0.0,-0.7595090834332946,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLDOJI|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,CDLDOJI,voltgt
-0.21956656123232615,0.19473684210526315,-0.21956656123232615,0.0,-0.7601856328539452,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,27.34952857120804,3139.8048896723126,-3112.4553611011047,us_stocks,1d,BEST[CORREL],gross,wf_transform,12.0,6.0,False,False,True,CORREL,
-0.22370680079215152,0.18947368421052632,-0.22370680079215152,0.0,-0.7745200133365112,,CLF,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLDOJI|hold10,gross,fixed_transform,24.0,0.0,False,False,True,CDLDOJI,hold10
-0.22386135413050162,0.18947368421052632,-0.22386135413050162,0.0,-0.77505510951265,,CLF,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLLONGLEGGEDDOJI|hold10,gross,fixed_transform,24.0,0.0,False,False,True,CDLLONGLEGGEDDOJI,hold10
-0.22723594369332334,0.18947368421052632,-0.22723594369332334,0.0,-0.7867386486091227,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,TSF_9|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,TSF_9,confirm2
-0.22824424878862803,0.16842105263157894,-0.2282442487886281,0.0,-0.7902296130013419,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLRICKSHAWMAN|base,gross,fixed_transform,24.0,0.0,False,False,True,CDLRICKSHAWMAN,base
-0.22824424878862803,0.16842105263157894,-0.2282442487886281,0.0,-0.7902296130013419,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLRICKSHAWMAN|long_only,gross,fixed_transform,24.0,0.0,False,False,True,CDLRICKSHAWMAN,long_only
-0.22902416087120483,0.23684210526315788,-0.2290241608712049,0.0,-0.7929298327285013,,NCLH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CORREL|confirm2,gross,fixed_transform,24.0,0.0,False,False,True,CORREL,confirm2
-0.2319981474365317,0.16842105263157894,-0.23199814743653172,0.0,-0.8032263999588364,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CDLRICKSHAWMAN|hold10,gross,fixed_transform,24.0,0.0,False,False,True,CDLRICKSHAWMAN,hold10
-0.23292567061606076,0.19473684210526315,-0.23292567061606076,0.0,-0.806437680361734,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_TRENDMODE|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,HT_TRENDMODE,voltgt
-0.23394336627155343,0.21052631578947367,-0.23394336627155343,0.0,-0.8099611568491434,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,HT_PHASOR|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,HT_PHASOR,voltgt
-0.2342520939890717,0.21052631578947367,-0.2342520939890717,0.0,-0.8110300371649982,,NCLH,190,190,11.986900887396445,False,False,False,False,0,False,,,,us_stocks,1d,CORREL|voltgt,gross,fixed_transform,24.0,0.0,False,False,True,CORREL,voltgt
-0.23581066304363735,0.2,-0.23581066304363735,0.0,-0.8164261311623802,,PHM,190,190,11.986900887396445,False,False,False,False,0,False,102.18167422992956,3139.8048896723126,-3037.623215442383,us_stocks,1d,BEST[TSF_9],gross,wf_transform,12.0,5.0,False,False,True,TSF_9,
