class,timeframe,n_assets,n_rules_run,n_rules_skipped,n_folds,n_families_reoptimised,is_years,oos_years,step_years,oos_start,oos_end,ranking_stability_spearman,mean_is_ir,mean_oos_ir,wf_drop,seconds
cme_futures,15m,19,232,0,8,14,3,1,1,2019-01-03,2026-08-27,0.6586751636129305,-0.4546779536955036,-0.6335146654307309,-0.1788367117352272,214.12828922271729
cme_futures,1d,19,232,0,14,14,3,1,1,2013-06-07,2026-08-26,0.1128688170452677,-0.2014202655886319,-0.325287899067196,-0.123867633478564,11.49873685836792
cme_futures,1h,19,232,0,8,14,3,1,1,2019-01-03,2026-08-27,0.3320521981910246,-0.2517574337757613,-0.4496407135048832,-0.1978832797291219,39.03691339492798
commodities,1d,5,228,4,24,14,3,1,1,2003-01-03,2026-08-08,0.1154324457036176,-0.3324470707160467,-0.4317638080799117,-0.099316737363865,7.119582414627075
commodities,4h,5,228,4,4,14,3,1,1,2023-01-19,2026-08-26,0.12889618489919605,-0.3296409796589802,-0.5766900028083943,-0.24704902314941413,8.068650007247925
commodities,5m,5,228,4,4,14,3,1,1,2023-02-26,2026-08-26,0.937225399327514,-3.214271603142037,-4.225931987662207,-1.0116603845201704,51.81482839584351
crypto,15m,10,228,4,4,14,3,1,1,2023-02-20,2026-08-03,0.9904983509415788,-6.1346151289667175,-8.094753749435636,-1.9601386204689184,152.23188614845276
crypto,1d,20,228,4,6,14,3,1,1,2020-08-29,2026-08-08,-0.0601361680818527,-0.4680485109068437,-0.2621036294963571,0.2059448814104866,6.566386699676514
crypto,1h,10,228,4,4,14,3,1,1,2023-01-07,2026-08-03,0.8819437027998981,-1.900574500774796,-2.1738294702071137,-0.2732549694323183,26.014439582824707
crypto,2h,10,228,4,4,14,3,1,1,2023-01-07,2026-08-03,0.7039926586946078,-1.2089008135968973,-1.238777450336838,-0.0298766367399407,14.464211702346802
crypto,4h,20,228,4,4,14,3,1,1,2023-01-07,2026-08-08,0.0896462438235443,-0.3684920342442959,-0.1396701882101227,0.2288218460341731,8.4182710647583
crypto,5m,10,228,4,4,14,3,1,1,2023-03-26,2026-08-03,0.9960071341157832,-16.920163990715665,-22.352585217858312,-5.432421227142648,598.0330743789673
us_etfs,1d,10,232,0,24,14,3,1,1,2003-01-03,2026-08-07,0.0573802509239197,-0.4867153379693656,-0.6869263958565688,-0.2002110578872031,8.71545124053955
us_etfs,1h,10,232,0,4,14,3,1,1,2023-02-10,2026-08-21,0.1266096380962313,-0.4396385441888676,-0.8308845380768571,-0.3912459938879895,13.325096130371094
us_etfs,4h,10,232,0,4,14,3,1,1,2023-02-10,2026-08-07,0.0985218389805799,-0.4244294930146865,-0.7749127016921362,-0.3504832086774497,4.621344327926636
us_stocks,15m,20,232,0,4,14,3,1,1,2022-09-17,2026-07-31,0.4281198067519189,-0.8195211405427061,-0.8862106681121138,-0.0666895275694077,54.69280743598938
us_stocks,1d,196,232,0,24,14,3,1,1,2003-01-03,2026-08-07,0.1622006983079819,-0.4641004976950257,-0.567372620567644,-0.1032721228726182,61.766530990600586
us_stocks,1h,20,232,0,5,14,3,1,1,2022-01-08,2026-07-31,0.1336557891799276,-0.6396851354099905,-0.6108853762309353,0.0287997591790551,23.03062415122986
us_stocks,2h,20,232,0,5,14,3,1,1,2022-06-21,2026-07-31,0.2430000701146889,-0.6045631269014712,-0.8945752797095126,-0.2900121528080414,18.476747274398804
us_stocks,4h,122,232,0,5,14,3,1,1,2022-06-21,2026-08-07,0.2808427207345715,-0.4729953269317011,-0.7905370365524808,-0.3175417096207796,25.620217323303223
us_stocks,5m,20,232,0,4,14,3,1,1,2023-01-09,2026-08-03,0.9146602604919252,-1.3530396598316523,-1.5707223864577495,-0.2176827266260972,170.07448554039
