ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,exposure,long_frac,short_frac
0.1394650751009906,0.7307692307692307,0.1394650751009906,8.197996002658506,0.5063754386574654,0.8579394693296933,6J.v.0,26,26,13.183002509696555,False,True,True,False,2,True,47.44028186014243,41.65873517932304,5.781546680819389,cme_futures,1d,MININDEX,gross,fixed,14.0,0.0,False,True,True,0.8509489951149385,0.8509489951149385,0.0
0.05449099538051116,0.6538461538461539,0.054490995380511165,2.6161127136771403,0.19784811121140872,0.6651447792863444,6C.v.0,26,26,13.183002509696555,False,False,False,False,0,False,175.71893989638622,41.65873517932304,134.0602047170632,cme_futures,1d,TSF_100,gross,fixed,14.0,0.0,False,False,True,1.0,0.5059395415310731,0.4940604584689269
0.04539348227832231,0.6538461538461539,0.04539348227832232,2.142490574152847,0.16481649247476776,0.5940032115190834,6C.v.0,26,26,13.183002509696555,False,False,False,False,0,False,162.63186222956045,41.65873517932304,120.97312705023742,cme_futures,1d,LINEARREG_100,gross,fixed,14.0,0.0,False,False,True,1.0,0.5061129865759475,0.49388701342405245
0.041306138512968146,0.5769230769230769,0.041306138512968146,1.6287145400911618,0.1499759993217234,0.4261369608333483,6J.v.0,26,26,13.183002509696555,False,False,False,False,0,False,50.4657077336302,41.65873517932304,8.806972554307158,cme_futures,1d,TEMA_100,gross,fixed,14.0,0.0,False,False,True,1.0,0.5035898492266109,0.49641015077338907
0.004284765823422721,0.6538461538461539,0.004284765823422725,0.25728002666822514,0.015557301150908604,-4.482755328021103,ZM.v.0,26,26,13.183002509696555,False,False,False,False,0,False,28.650733700756554,41.65873517932304,-13.008001478566484,cme_futures,1d,MAXINDEX,gross,fixed,14.0,0.0,False,True,True,0.8548137612927884,0.8548137612927884,0.0
-0.001826373686784182,0.5384615384615384,-0.0018263736867841736,0.0,-0.0066312714930823816,,ZW.v.0,26,26,13.183002509696555,False,False,False,False,0,False,19.01369000170879,41.65873517932304,-22.645045177614247,cme_futures,1d,TEMA_50,gross,fixed,14.0,0.0,False,False,True,1.0,0.5035514569577418,0.49644854304225816
-0.005068423138239482,0.5769230769230769,-0.005068423138239476,0.0,-0.0184026358431971,,ZT.v.0,26,26,13.183002509696555,False,False,False,False,0,False,6.300315473464623,41.65873517932304,-35.35841970585842,cme_futures,1d,LINEARREG_1000,gross,fixed,14.0,0.0,False,False,True,0.9338694800784199,0.5083245626543953,0.42554491742402445
-0.006820929505009028,0.5384615384615384,-0.006820929505009028,0.0,-0.024765706881450366,,ZT.v.0,26,26,13.183002509696555,False,False,False,False,0,False,5.888507827479097,41.65873517932304,-35.77022735184394,cme_futures,1d,TSF_1000,gross,fixed,14.0,0.0,False,False,True,0.9338694800784199,0.5087557889441958,0.42511369113422404
-0.008122946548891594,0.5384615384615384,-0.008122946548891598,0.0,-0.02949312305541439,,6J.v.0,26,26,13.183002509696555,False,False,False,False,0,False,3.1465494892168753,41.65873517932304,-38.512185690106165,cme_futures,1d,CEIL,gross,fixed,14.0,0.0,False,True,True,0.5654874140288176,0.28665148907166205,0.27883592495715565
-0.008122946548891594,0.5384615384615384,-0.008122946548891598,0.0,-0.02949312305541439,,6J.v.0,26,26,13.183002509696555,False,False,False,False,0,False,3.1465494892168753,41.65873517932304,-38.512185690106165,cme_futures,1d,FLOOR,gross,fixed,14.0,0.0,False,True,True,0.5654874140288176,0.28665148907166205,0.27883592495715565
