ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,exposure,long_frac,short_frac
-0.20183637182971437,0.0,-0.20183637182971437,0.0,-0.35221850793661774,,XAU/USD,3,3,3.045267758098128,False,False,False,False,0,False,62.062524932662704,113.2372208205544,-51.174695887891694,commodities,15m,TRIX,gross,fixed,3.0,0.0,False,False,True,1.0,0.5404581089823569,0.45954189101764314
-0.2178775742935434,0.3333333333333333,-0.21787757429354337,0.0,-0.3802115220108395,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,463.4823329368124,113.2372208205544,350.245112116258,commodities,15m,NATR,gross,fixed,3.0,0.0,False,True,True,1.0,0.460215022567164,0.5397849774328359
-0.28338158604205904,0.0,-0.28338158604205904,0.0,-0.49452057876196887,,XAU/USD,3,3,3.045267758098128,False,False,False,False,0,False,97.46588295170976,113.2372208205544,-15.77133786884464,commodities,15m,MAXINDEX,gross,fixed,3.0,0.0,False,True,True,0.8505480852824432,0.8505480852824432,0.0
-0.3069079383689424,0.3333333333333333,-0.3069079383689424,0.0,-0.5355756999903525,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,865.7116361082955,113.2372208205544,752.4744152877411,commodities,15m,CDLGRAVESTONEDOJI,gross,fixed,3.0,0.0,False,False,True,0.16173751144570106,0.16173751144570106,0.0
-0.3921913746635411,0.3333333333333333,-0.3921913746635411,0.0,-0.6844012283680325,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,223.43558997382885,113.2372208205544,110.19836915327446,commodities,15m,CDLHIKKAKE,gross,fixed,3.0,0.0,False,False,True,0.5141840322651082,0.24721803851747873,0.26696599374762947
-0.4466883715679682,0.0,-0.4466883715679682,0.0,-0.779502278603409,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,4.533881804786472,113.2372208205544,-108.70333901576792,commodities,15m,ADXR,gross,fixed,3.0,0.0,False,True,True,1.0,0.47897016323870184,0.5210298367612981
-0.4947204725824426,0.3333333333333333,-0.4947204725824426,0.0,-0.8633216358332958,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,92.90539912015697,113.2372208205544,-20.331821700397427,commodities,15m,MININDEX,gross,fixed,3.0,0.0,False,True,True,0.8488194290259209,0.8488194290259209,0.0
-0.5020828907299469,0.0,-0.5020828907299469,0.0,-0.8761695676069964,,XAG/USD,3,3,3.045267758098128,False,False,False,False,0,False,85.96941411199504,113.2372208205544,-27.267806708559363,commodities,15m,CDLDOJI,gross,fixed,3.0,0.0,False,False,True,0.6370775595885061,0.6370775595885061,0.0
-0.5171102432517279,0.3333333333333333,-0.5171102432517279,0.0,-0.9023933430121787,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,571.5888090237925,113.2372208205544,458.35158820323807,commodities,15m,CDLINVERTEDHAMMER,gross,fixed,3.0,0.0,False,False,True,0.07767444698199817,0.07767444698199817,0.0
-0.5515943791391901,0.0,-0.5515943791391901,0.0,-0.9625705587422196,,XAG/USD,3,3,3.045267758098128,False,False,False,False,0,False,-0.19430876337319583,113.2372208205544,-113.4315295839276,commodities,15m,COS,gross,fixed,3.0,0.0,False,True,True,0.9999826489673778,0.500054492083304,0.4999281568840736
-0.569552671651104,0.0,-0.569552671651104,0.0,-0.993909028297014,,XAG/USD,3,3,3.045267758098128,False,False,False,False,0,False,74.88588425269928,113.2372208205544,-38.351336567855114,commodities,15m,CDLLONGLEGGEDDOJI,gross,fixed,3.0,0.0,False,False,True,0.6292930168587656,0.6292930168587656,0.0
-0.5778243283057566,0.3333333333333333,-0.5778243283057565,0.0,-1.0083436445094167,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,268.32796130692185,113.2372208205544,155.09074048636745,commodities,15m,CDLHARAMI,gross,fixed,3.0,0.0,False,False,True,0.402522911922036,0.1817042650505598,0.2208186468714762
-0.5830503708647936,0.0,-0.5830503708647936,0.0,-1.0174634522817751,,XAG/USD,3,3,3.045267758098128,False,False,False,False,0,False,19.46969614212827,113.2372208205544,-93.76752467842613,commodities,15m,MINMAX,gross,fixed,3.0,0.0,False,True,True,0.9911089039393025,0.4944179899082893,0.4966909140310131
-0.6355937625667161,0.3333333333333333,-0.635593762566716,0.0,-1.109155325552239,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,87.58151645451223,113.2372208205544,-25.655704366042173,commodities,15m,CDLMATCHINGLOW,gross,fixed,3.0,0.0,False,False,True,0.1071239338905378,0.1071239338905378,0.0
-0.6643697474258256,0.0,-0.6643697474258256,0.0,-1.1593714206970394,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,-18.62945896368827,113.2372208205544,-131.86667978424268,commodities,15m,ADX,gross,fixed,3.0,0.0,False,True,True,1.0,0.46434797375284215,0.5356520262471579
-0.6654569457013545,0.3333333333333333,-0.6654569457013545,0.0,-1.1612686573098792,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,294.3829284543397,113.2372208205544,181.14570763378532,commodities,15m,CDLDOJISTAR,gross,fixed,3.0,0.0,False,False,True,0.08550539731789335,0.04250073413985342,0.04300466317803992
-0.6730260390807841,0.0,-0.6730260390807841,0.0,-1.1744772517389588,,WTI/USD,3,3,3.045267758098128,False,False,False,False,0,False,54.59943922236719,113.2372208205544,-58.63778159818721,commodities,15m,CDLRICKSHAWMAN,gross,fixed,3.0,0.0,False,False,True,0.421724926496753,0.421724926496753,0.0
